Category,Department,Budget_Q1,Actual_Q1,Budget_Q2,Actual_Q2,Budget_Q3,Actual_Q3,Budget_Q4,Actual_Q4
Revenue,Sales,2500000,2380000,2750000,2920000,2900000,2850000,3200000,
Revenue,Partnerships,450000,425000,480000,510000,520000,495000,550000,
Revenue,Services,680000,720000,720000,685000,750000,790000,800000,
COGS,Direct Materials,850000,920000,900000,875000,950000,980000,1050000,
COGS,Direct Labor,420000,405000,450000,462000,470000,455000,510000,
COGS,Manufacturing Overhead,180000,195000,190000,188000,200000,212000,220000,
Gross Profit,Total,2180000,2005000,2410000,2590000,2550000,2488000,2770000,
OpEx,Sales & Marketing,480000,525000,520000,498000,550000,572000,620000,
OpEx,Research & Development,380000,365000,400000,410000,420000,425000,450000,
OpEx,General & Admin,290000,285000,300000,308000,310000,315000,330000,
OpEx,IT Infrastructure,120000,145000,130000,128000,140000,155000,150000,
Operating Income,Total,910000,685000,1060000,1246000,1130000,1021000,1220000,
Other,Interest Expense,45000,45000,45000,45000,45000,45000,45000,
Other,Other Income,15000,22000,15000,18000,15000,25000,15000,
Net Income,Total,880000,662000,1030000,1219000,1100000,1001000,1190000,
Headcount,Sales,45,44,48,49,50,51,55,
Headcount,Engineering,62,60,65,64,68,66,72,
Headcount,Operations,38,39,40,41,42,43,45,
Headcount,Corporate,25,25,26,26,27,27,28,

